; saxpy-grid 1048576 1073741824, Thu Aug 23 16:36:13 2018
index,dev_id,dev_name,dev_CC,dev_memClock,dev_clock,n,numSMs,blocks_i,blocks_i/numSMs,blocks_n,TBlocksize,TRuns,min_time,max_throughput
   5, 0, Quadro GV100, 7.0, 850, 1327, 2097152, 80, 5120, 64, 16384, 128, 5, 0.048224 ms, 521.853 GB/s
   6, 0, Quadro GV100, 7.0, 850, 1327, 2097152, 80, 10240, 128, 16384, 128, 5, 0.04816 ms, 522.546 GB/s
   7, 0, Quadro GV100, 7.0, 850, 1327, 2097152, 80, 16384, 204, 16384, 128, 5, 0.049728 ms, 506.07 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 2097152, 80, 160, 2, 8192, 256, 5, 0.056448 ms, 445.823 GB/s
   1, 0, Quadro GV100, 7.0, 850, 1327, 2097152, 80, 320, 4, 8192, 256, 5, 0.050176 ms, 501.551 GB/s
   2, 0, Quadro GV100, 7.0, 850, 1327, 2097152, 80, 640, 8, 8192, 256, 5, 0.050208 ms, 501.231 GB/s
   3, 0, Quadro GV100, 7.0, 850, 1327, 2097152, 80, 1280, 16, 8192, 256, 5, 0.050144 ms, 501.871 GB/s
   4, 0, Quadro GV100, 7.0, 850, 1327, 2097152, 80, 2560, 32, 8192, 256, 5, 0.048224 ms, 521.853 GB/s
   5, 0, Quadro GV100, 7.0, 850, 1327, 2097152, 80, 5120, 64, 8192, 256, 5, 0.048064 ms, 523.59 GB/s
   6, 0, Quadro GV100, 7.0, 850, 1327, 2097152, 80, 8192, 102, 8192, 256, 5, 0.049632 ms, 507.048 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 2097152, 80, 160, 2, 4096, 512, 5, 0.050752 ms, 495.859 GB/s
   1, 0, Quadro GV100, 7.0, 850, 1327, 2097152, 80, 320, 4, 4096, 512, 5, 0.049984 ms, 503.478 GB/s
   2, 0, Quadro GV100, 7.0, 850, 1327, 2097152, 80, 640, 8, 4096, 512, 5, 0.050112 ms, 502.192 GB/s
   3, 0, Quadro GV100, 7.0, 850, 1327, 2097152, 80, 1280, 16, 4096, 512, 5, 0.04816 ms, 522.546 GB/s
   4, 0, Quadro GV100, 7.0, 850, 1327, 2097152, 80, 2560, 32, 4096, 512, 5, 0.047744 ms, 527.099 GB/s
   5, 0, Quadro GV100, 7.0, 850, 1327, 2097152, 80, 4096, 51, 4096, 512, 5, 0.049248 ms, 511.002 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 2097152, 80, 160, 2, 2048, 1024, 5, 0.05008 ms, 502.512 GB/s
   1, 0, Quadro GV100, 7.0, 850, 1327, 2097152, 80, 320, 4, 2048, 1024, 5, 0.049952 ms, 503.8 GB/s
   2, 0, Quadro GV100, 7.0, 850, 1327, 2097152, 80, 640, 8, 2048, 1024, 5, 0.048288 ms, 521.161 GB/s
   3, 0, Quadro GV100, 7.0, 850, 1327, 2097152, 80, 1280, 16, 2048, 1024, 5, 0.048064 ms, 523.59 GB/s
   4, 0, Quadro GV100, 7.0, 850, 1327, 2097152, 80, 2048, 25, 2048, 1024, 5, 0.049728 ms, 506.07 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 160, 2, 65536, 64, 5, 0.228864 ms, 219.919 GB/s
   1, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 320, 4, 65536, 64, 5, 0.146304 ms, 344.021 GB/s
   2, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 640, 8, 65536, 64, 5, 0.107104 ms, 469.932 GB/s
   3, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 1280, 16, 65536, 64, 5, 0.093568 ms, 537.915 GB/s
   4, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 2560, 32, 65536, 64, 5, 0.091104 ms, 552.464 GB/s
   5, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 5120, 64, 65536, 64, 5, 0.0936 ms, 537.731 GB/s
   6, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 10240, 128, 65536, 64, 5, 0.092704 ms, 542.929 GB/s
   7, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 20480, 256, 65536, 64, 5, 0.090208 ms, 557.951 GB/s
   8, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 40960, 512, 65536, 64, 5, 0.097216 ms, 517.73 GB/s
   9, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 65536, 819, 65536, 64, 5, 0.113952 ms, 441.692 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 160, 2, 32768, 128, 5, 0.146944 ms, 342.523 GB/s
   1, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 320, 4, 32768, 128, 5, 0.108064 ms, 465.758 GB/s
   2, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 640, 8, 32768, 128, 5, 0.093728 ms, 536.997 GB/s
   3, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 1280, 16, 32768, 128, 5, 0.089824 ms, 560.336 GB/s
   4, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 2560, 32, 32768, 128, 5, 0.09184 ms, 548.036 GB/s
   5, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 5120, 64, 32768, 128, 5, 0.09136 ms, 550.916 GB/s
   6, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 10240, 128, 32768, 128, 5, 0.088768 ms, 567.002 GB/s
   7, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 20480, 256, 32768, 128, 5, 0.089664 ms, 561.336 GB/s
   8, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 32768, 409, 32768, 128, 5, 0.090112 ms, 558.545 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 160, 2, 16384, 256, 5, 0.107584 ms, 467.836 GB/s
   1, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 320, 4, 16384, 256, 5, 0.094112 ms, 534.806 GB/s
   2, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 640, 8, 16384, 256, 5, 0.090624 ms, 555.39 GB/s
   3, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 1280, 16, 16384, 256, 5, 0.09184 ms, 548.036 GB/s
   4, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 2560, 32, 16384, 256, 5, 0.09152 ms, 549.952 GB/s
   5, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 5120, 64, 16384, 256, 5, 0.088896 ms, 566.186 GB/s
   6, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 10240, 128, 16384, 256, 5, 0.089344 ms, 563.347 GB/s
   7, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 16384, 204, 16384, 256, 5, 0.089632 ms, 561.537 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 160, 2, 8192, 512, 5, 0.093856 ms, 536.265 GB/s
   1, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 320, 4, 8192, 512, 5, 0.090784 ms, 554.411 GB/s
   2, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 640, 8, 8192, 512, 5, 0.091104 ms, 552.464 GB/s
   3, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 1280, 16, 8192, 512, 5, 0.091616 ms, 549.376 GB/s
   4, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 2560, 32, 8192, 512, 5, 0.088096 ms, 571.327 GB/s
   5, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 5120, 64, 8192, 512, 5, 0.089632 ms, 561.537 GB/s
   6, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 8192, 102, 8192, 512, 5, 0.08928 ms, 563.751 GB/s
   0, 0, Quadro GV100, 7.0, 850, 1327, 4194304, 80, 160, 2, 4096, 1024, 5, 0.090624 ms, 555.39 GB/s
