; reduction-grid 1048576 1073741824, Thu Aug 23 17:13:51 2018
index,dev_id,dev_name,dev_CC,dev_memClock,dev_clock,n,numSMs,blocks_i,blocks_i/numSMs,blocks_n,TBlocksize,TRuns,min_time,max_throughput
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 2097152, 56, 112, 2, 8192, 128, 5, 0.032448 ms, 258.525 GB/s
   1, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 2097152, 56, 224, 4, 8192, 128, 5, 0.02512 ms, 333.941 GB/s
   2, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 2097152, 56, 448, 8, 8192, 128, 5, 0.025344 ms, 330.99 GB/s
   3, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 2097152, 56, 896, 16, 8192, 128, 5, 0.027136 ms, 309.132 GB/s
   4, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 2097152, 56, 1792, 32, 8192, 128, 5, 0.027744 ms, 302.358 GB/s
   5, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 2097152, 56, 3584, 64, 8192, 128, 5, 0.03312 ms, 253.279 GB/s
   6, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 2097152, 56, 7168, 128, 8192, 128, 5, 0.0488 ms, 171.898 GB/s
   7, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 2097152, 56, 8192, 146, 8192, 128, 5, 0.053472 ms, 156.879 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 2097152, 56, 112, 2, 4096, 256, 5, 0.0256 ms, 327.68 GB/s
   1, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 2097152, 56, 224, 4, 4096, 256, 5, 0.02544 ms, 329.741 GB/s
   2, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 2097152, 56, 448, 8, 4096, 256, 5, 0.026784 ms, 313.195 GB/s
   3, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 2097152, 56, 896, 16, 4096, 256, 5, 0.028416 ms, 295.207 GB/s
   4, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 2097152, 56, 1792, 32, 4096, 256, 5, 0.032864 ms, 255.252 GB/s
   5, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 2097152, 56, 3584, 64, 4096, 256, 5, 0.047968 ms, 174.879 GB/s
   6, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 2097152, 56, 4096, 73, 4096, 256, 5, 0.052128 ms, 160.923 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 2097152, 56, 112, 2, 2048, 512, 5, 0.025696 ms, 326.456 GB/s
   1, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 2097152, 56, 224, 4, 2048, 512, 5, 0.027712 ms, 302.707 GB/s
   2, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 2097152, 56, 448, 8, 2048, 512, 5, 0.02928 ms, 286.496 GB/s
   3, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 2097152, 56, 896, 16, 2048, 512, 5, 0.03456 ms, 242.726 GB/s
   4, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 2097152, 56, 1792, 32, 2048, 512, 5, 0.051264 ms, 163.635 GB/s
   5, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 2097152, 56, 2048, 36, 2048, 512, 5, 0.055392 ms, 151.441 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 2097152, 56, 112, 2, 1024, 1024, 5, 0.02832 ms, 296.208 GB/s
   1, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 2097152, 56, 224, 4, 1024, 1024, 5, 0.030496 ms, 275.072 GB/s
   2, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 2097152, 56, 448, 8, 1024, 1024, 5, 0.03792 ms, 221.219 GB/s
   3, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 2097152, 56, 896, 16, 1024, 1024, 5, 0.057216 ms, 146.613 GB/s
